"player_id","season_id","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"242","5","82","1","1721","414","719","10","21","664","33","26","33","1038"
"242","6","66","0","874","117","236","0","1","278","8","18","23","304"
"242","7","70","2","1078","206","379","1","1","304","31","28","32","506"
"244","2","55","52","1587","224","482","0","0","416","77","30","38","598"
"244","3","62","62","1502","167","353","1","9","324","52","43","39","448"
"244","4","81","81","2349","295","618","1","9","565","114","81","77","743"
"244","5","7","7","205","33","61","3","7","45","9","3","3","89"
"244","7","78","77","2025","281","613","2","9","455","117","54","70","704"
"245","2","4","0","72","7","20","4","13","6","4","3","0","22"
"245","4","70","24","1754","305","735","105","308","280","157","46","6","919"
"245","5","31","0","616","123","270","39","114","56","29","12","2","345"
"248","1","82","0","1649","242","557","120","289","150","124","35","20","681"
"248","2","75","75","2418","292","600","221","449","304","196","52","42","911"
"248","3","71","71","2408","289","609","185","392","282","208","70","24","850"
"248","4","67","22","1753","239","515","162","359","187","110","34","21","678"
"248","5","80","80","2401","268","616","158","397","260","164","60","35","739"
"248","6","65","7","1469","178","412","118","271","159","112","36","15","529"
"248","7","74","60","2259","277","601","189","414","293","146","70","37","810"
"249","1","50","2","434","68","150","0","2","130","7","10","25","160"
"249","2","81","3","1348","182","358","0","0","426","37","29","63","419"
"249","3","80","22","1349","227","459","0","0","418","39","32","71","514"
"249","4","71","62","1419","216","392","0","1","403","47","36","48","470"
"249","5","78","14","1482","236","444","0","0","423","33","40","70","529"
"249","6","48","24","792","115","192","0","0","258","15","24","41","263"
"249","7","81","81","1817","295","508","0","1","562","32","44","103","648"
"251","4","68","5","1016","158","369","54","168","126","69","29","11","425"
"252","4","33","12","612","117","218","3","8","162","27","16","13","289"
"253","2","47","8","633","104","250","38","111","107","44","21","6","295"
"253","3","78","0","1538","263","609","88","247","189","115","56","26","665"
"253","4","62","5","1143","226","491","41","146","264","75","27","23","603"
"253","5","66","0","1227","230","510","56","181","252","77","42","30","580"
"253","7","23","0","147","24","68","9","30","18","5","2","2","71"
"254","2","76","22","1865","187","432","35","116","176","226","93","9","470"
"254","3","48","0","489","52","137","12","38","42","71","26","1","132"
"254","5","78","17","1751","222","502","39","108","180","342","95","12","566"
"255","2","24","1","268","36","89","3","16","77","13","8","10","93"
"255","4","70","1","980","148","336","33","98","251","70","25","6","375"
"255","5","59","15","1041","195","380","13","53","290","56","13","15","465"
"256","4","35","1","249","26","89","13","51","24","11","9","3","78"
"258","1","81","1","1723","253","576","71","174","209","100","58","18","672"
"258","2","77","74","2354","288","643","90","224","178","151","75","12","777"
"258","3","79","47","1973","295","614","72","194","187","115","65","28","761"
"258","4","77","74","2459","321","704","108","269","260","179","81","23","835"
"258","5","79","65","2334","290","639","82","217","205","136","85","28","761"
"258","6","58","26","1757","251","580","87","217","159","88","68","22","660"
"258","7","78","39","1941","246","530","58","156","190","143","89","21","612"
"259","2","69","44","1518","179","353","1","3","454","32","34","105","432"
"259","3","42","3","362","33","78","0","0","99","4","4","18","86"
"259","4","77","34","1560","230","463","3","12","510","44","37","98","613"
"259","5","78","46","1821","264","624","1","7","594","97","38","62","703"
"260","2","64","64","2033","394","822","67","192","461","161","148","48","1057"
"260","3","66","65","1923","337","645","69","182","412","133","114","50","844"
"260","4","74","74","2474","636","1311","147","386","430","260","132","55","1888"
"260","5","72","72","2380","551","1090","129","291","493","186","128","71","1523"
"260","6","64","39","1534","199","404","41","109","327","70","85","24","507"
"260","7","58","57","1810","260","526","65","174","346","93","97","32","689"
"261","2","55","7","847","125","245","47","112","250","32","10","14","327"
"261","3","40","0","355","41","91","0","6","111","18","7","5","98"
"261","4","74","12","1222","146","378","74","213","236","71","13","28","401"
"261","5","61","10","1333","195","435","86","228","314","92","8","18","511"
"261","7","69","9","1206","151","277","3","7","255","33","11","38","377"
"262","2","63","6","824","121","273","7","29","207","46","17","9","286"
"262","3","49","0","642","121","246","23","49","158","20","18","13","302"
"262","4","75","34","1944","310","646","49","167","402","111","31","26","767"
"262","5","67","27","1255","224","466","42","110","373","72","38","30","567"
"262","6","46","12","555","97","191","3","9","120","25","14","17","218"
"262","7","28","0","187","25","52","0","3","37","8","6","0","56"
"263","4","57","26","1237","171","380","59","184","188","110","49","8","468"
"264","3","1","0","1","1","1","0","0","1","0","0","0","2"
"264","4","62","19","777","55","142","17","46","108","54","47","14","152"
"264","6","17","0","115","12","25","0","4","15","5","6","0","33"
"264","7","39","1","290","21","47","7","19","53","15","18","3","58"
"265","2","82","82","2925","590","1360","196","572","378","507","97","21","1720"
"265","3","82","82","2937","553","1304","218","554","288","457","64","22","1695"
"265","4","75","75","2694","661","1488","214","578","368","439","68","20","2024"
"265","5","75","75","2676","618","1474","229","610","302","512","65","28","1879"
"265","7","82","82","3167","553","1288","185","503","257","531","74","19","1562"
"266","1","29","0","285","28","72","1","5","34","42","33","9","76"
"266","2","74","30","1907","277","654","65","176","196","339","82","32","832"
"266","3","71","33","2054","295","662","82","229","187","294","68","27","890"
"266","4","36","33","883","175","400","58","156","135","184","41","14","523"
"266","5","78","13","2048","300","728","76","226","253","235","58","42","914"
"266","6","35","25","940","171","383","24","75","107","216","55","9","512"
"266","7","82","82","2640","396","897","87","257","247","497","134","29","1095"
"267","1","73","0","1261","185","397","1","4","149","164","47","29","479"
"267","2","78","2","1468","198","396","0","2","183","259","49","20","461"
"267","3","76","54","1974","235","487","1","6","246","245","93","31","629"
"267","4","76","3","1345","173","316","1","3","151","139","38","20","389"
"267","5","78","3","1520","203","379","2","12","169","237","57","27","488"
"267","6","58","27","1092","127","271","2","3","123","122","27","20","318"
"267","7","66","16","1455","166","346","0","4","158","215","48","31","417"
"268","4","53","4","447","56","107","2","9","124","29","14","17","135"
"268","5","5","0","21","4","7","1","2","10","0","0","0","9"
"269","1","82","82","2889","644","1309","0","1","488","129","47","120","1673"
"269","2","72","44","2100","506","987","1","10","535","50","43","126","1236"
"269","3","17","17","533","129","229","0","1","102","16","9","30","352"
"269","4","75","75","2222","555","1172","134","387","403","176","38","124","1539"
"269","5","73","73","2457","591","1157","2","14","573","147","58","124","1501"
"269","6","5","5","136","38","77","0","0","18","6","1","4","96"
"269","7","74","74","2253","570","1094","0","1","512","70","33","154","1437"
"270","1","67","56","991","179","357","0","0","216","8","18","45","432"
"270","2","59","59","1638","234","437","0","1","394","55","16","84","566"
"270","3","82","82","2603","355","644","0","1","700","73","25","139","908"
"270","4","81","81","2271","382","775","0","2","519","80","18","117","839"
"270","5","82","82","2219","357","662","0","1","602","114","16","129","842"
"270","6","64","0","895","124","269","0","0","209","20","18","60","348"
"270","7","82","82","2136","384","719","0","0","462","64","32","128","929"
"271","1","73","73","2611","482","1026","88","211","1112","184","45","28","1476"
"271","2","75","75","2532","413","952","144","392","731","168","51","39","1228"
"271","3","77","77","2797","650","1421","190","505","963","341","59","35","2010"
"271","4","60","60","1885","370","867","145","389","666","116","53","22","1142"
"271","5","77","77","2424","409","977","158","439","762","186","58","41","1234"
"271","6","55","55","2145","474","1059","105","282","734","111","47","28","1432"
"271","7","18","18","618","105","298","20","92","252","42","13","9","330"
"272","1","75","71","2563","345","809","129","343","309","500","102","23","1011"
"272","2","70","70","2414","430","1043","132","391","328","473","109","13","1244"
"272","3","79","79","2862","457","1080","190","500","369","586","121","15","1417"
"272","4","60","60","2244","426","918","193","468","288","417","88","19","1344"
"272","5","77","77","2851","512","1198","212","547","365","494","158","34","1634"
"272","6","47","38","1510","210","513","79","211","213","310","73","14","670"
"272","7","68","52","2020","250","623","101","279","321","435","94","24","791"
"273","4","69","19","1190","145","361","50","161","149","75","32","10","445"
"275","4","71","4","1158","159","439","65","204","235","70","26","20","440"
"275","5","80","33","1382","191","436","49","128","299","59","26","18","488"
"276","2","55","0","833","117","292","40","127","79","155","30","2","299"
"276","3","73","11","1490","209","501","62","184","160","271","50","2","544"
"276","4","55","9","1205","170","381","37","120","128","154","42","3","430"
"276","5","52","27","1058","182","415","39","125","128","187","34","3","448"
"276","6","64","0","779","88","220","12","42","92","131","28","2","230"
"276","7","31","3","416","58","126","18","49","40","68","15","0","143"
"278","1","56","0","488","55","98","0","2","120","8","14","15","173"
"278","2","61","6","1146","117","212","0","0","356","33","30","46","265"
"278","3","77","1","1248","91","189","0","1","257","24","41","72","272"
"278","4","31","0","555","65","111","0","0","150","19","33","24","173"
"278","5","71","71","1816","264","448","0","0","507","104","65","75","660"
"278","6","61","12","1139","130","238","0","1","289","12","38","31","354"
"278","7","80","2","1322","149","329","0","2","311","27","39","66","402"
"279","4","57","34","562","83","181","28","74","114","23","10","26","226"
"280","4","35","0","293","72","132","0","0","130","9","6","12","191"
"280","5","54","4","508","105","174","0","0","194","21","12","23","297"
"282","4","42","3","558","58","151","9","25","162","8","17","9","165"
"282","5","27","0","380","54","116","0","2","86","15","8","7","153"
"285","1","82","69","2758","440","979","154","378","258","164","102","9","1300"
"285","2","60","60","2024","337","752","173","445","222","139","77","10","956"
"285","3","82","82","2780","445","1009","201","511","289","197","76","14","1343"
"285","4","73","73","2495","333","847","174","479","259","210","77","16","986"
"285","5","78","78","2644","331","854","189","525","238","151","78","17","977"
"285","6","66","53","2228","314","763","129","337","224","113","96","15","904"
"285","7","69","69","2403","352","808","169","425","191","174","90","18","1022"
"288","4","71","20","1074","106","245","41","123","101","77","32","15","282"
"289","2","62","3","973","159","365","55","139","91","64","43","8","424"
"289","3","38","0","476","74","178","30","80","48","27","14","2","201"
"289","4","80","80","2796","692","1441","185","440","291","285","72","42","1837"
"289","5","80","80","2780","641","1431","197","472","259","341","97","23","1666"
"290","4","81","51","2133","236","512","11","55","251","534","134","10","556"
"290","5","81","17","1606","218","464","31","89","250","367","95","10","493"
"291","4","16","0","80","16","32","1","7","19","2","2","2","36"
"291","5","24","4","362","44","109","13","34","68","9","28","12","112"
"292","2","36","0","321","43","107","13","41","43","6","4","1","109"
"292","4","66","5","1508","222","497","77","207","179","58","13","5","592"
"292","5","81","4","1861","291","644","110","259","195","59","14","6","764"
"293","1","79","75","2193","332","604","0","3","634","38","41","193","798"
"293","2","23","0","256","42","79","0","0","61","3","2","20","106"
"293","3","5","5","79","17","38","0","0","17","2","1","7","35"
"293","4","77","10","739","208","319","0","4","244","17","19","67","472"
"293","5","34","2","370","77","134","0","1","133","3","5","26","172"
"293","6","61","45","1535","307","552","0","0","477","31","35","132","691"
"293","7","79","0","1433","303","527","1","1","381","24","30","157","717"
"295","2","82","82","2670","363","831","140","391","241","140","77","19","996"
"295","3","82","55","2187","255","679","95","297","235","82","45","18","720"
"295","4","61","26","1176","180","419","65","170","130","51","29","6","495"
"295","5","68","53","1443","195","455","67","185","148","79","52","10","531"
"296","1","74","64","2062","242","570","138","348","171","78","63","4","774"
"296","2","60","0","1462","222","534","74","212","104","79","59","6","663"
"296","3","77","70","2556","413","892","162","404","194","138","111","4","1209"
"296","4","36","10","738","103","256","56","137","77","45","34","4","327"
"296","5","3","0","43","7","20","4","9","5","3","0","0","22"
"296","6","66","50","1644","191","467","97","266","161","54","40","3","556"
"296","7","78","10","1663","205","530","122","342","171","69","58","5","618"
"297","4","73","11","905","88","137","1","3","308","14","32","61","213"
"297","5","34","6","397","49","78","0","1","123","10","8","36","125"
"298","4","25","1","141","15","34","0","1","34","7","3","6","38"
"298","5","16","0","57","8","22","0","0","13","1","0","11","21"
"299","2","79","58","2378","406","869","109","268","347","182","122","11","1055"
"299","3","82","64","2460","376","854","120","290","310","169","83","20","990"
"299","4","29","23","889","150","333","45","104","123","99","41","7","426"
"299","5","79","79","2852","507","1142","143","361","302","331","131","19","1434"
"299","7","27","0","475","62","141","14","45","50","28","15","4","165"
"300","1","78","19","1969","366","899","109","339","255","135","74","38","1000"
"300","2","70","40","1841","329","827","154","446","214","75","60","26","942"
"300","3","51","34","984","178","409","83","211","103","52","46","15","503"
"300","4","76","29","1776","281","647","169","409","229","48","46","25","815"
"300","5","64","24","1464","259","634","142","387","175","63","53","29","753"
"300","6","56","14","1145","177","465","46","150","116","69","46","18","508"
"300","7","65","13","1364","255","614","126","328","174","63","49","17","729"
"301","2","5","1","43","1","7","0","1","1","2","1","0","2"
