"player_id","team_id","position_id"
"878","6","2"
"897","11","2"
"789","18","1"
"233","20","1"
"579","20","1"
"118","14","3"
"115","19","2"
"901","28","2"
"838","11","3"
"806","9","2"
"522","9","2"
"88","28","2"
"786","10","1"
"672","29","1"
"421","34","2"
"903","14","2"
"633","17","3"
"656","33","3"
"575","30","1"
"584","15","2"
"483","14","1"
"309","6","1"
"519","7","1"
"490","3","1"
"842","13","3"
"710","10","3"
"912","31","3"
"419","10","3"
"80","29","2"
"83","12","2"
"375","23","1"
"195","33","1"
"208","23","3"
"727","28","2"
"208","30","2"
"61","20","1"
"568","6","2"
"133","5","2"
"182","1","1"
"643","31","1"
"565","14","3"
"851","27","2"
"514","8","3"
"229","14","2"
"904","4","2"
"751","28","2"
"229","2","2"
"886","14","3"
"578","19","1"
"531","3","1"
"993","19","3"
"1033","13","1"
"309","30","1"
"999","11","2"
"402","34","2"
"267","26","1"
"550","17","2"
"350","9","3"
"998","29","2"
"803","17","3"
"531","8","2"
"609","2","2"
"827","31","2"
"137","32","2"
"140","12","1"
"399","3","1"
"878","14","3"
"639","8","2"
"248","14","1"
"762","32","2"
"791","17","1"
"55","13","3"
"557","3","2"
"764","1","1"
"787","23","1"
"883","11","1"
"333","1","3"
"673","10","1"
"1044","15","2"
"167","30","2"
"810","18","2"
"433","30","3"
"921","13","2"
"388","9","2"
"511","27","3"
"6","27","3"
"922","28","1"
"29","27","1"
"885","6","1"
"195","4","1"
"898","28","3"
"175","7","2"
"1011","32","3"
"630","15","3"
"667","14","2"
"452","14","1"
"69","13","2"
"155","1","2"
"727","7","2"
"480","30","2"
"511","14","2"
"963","26","2"
"607","27","2"
"347","3","2"
"278","4","3"
"599","21","3"
"480","20","2"
"399","34","1"
"276","14","1"
"406","4","2"
"69","13","1"
"882","14","1"
"559","30","2"
"404","7","2"
"390","14","1"
"598","2","2"
"655","6","3"
"951","13","2"
"11","19","2"
"6","23","3"
"730","12","1"
"279","16","2"
"441","32","1"
"638","20","3"
"110","9","1"
"358","29","2"
"81","31","1"
"145","11","1"
"167","17","2"
"909","30","1"
"210","14","2"
"147","13","1"
"1025","4","1"
"631","17","3"
"899","10","2"
"51","7","1"
"536","33","2"
"960","32","3"
"990","18","2"
"181","18","1"
"609","17","1"
"645","16","1"
"47","24","3"
"878","14","2"
"54","17","1"
"770","8","1"
"698","13","1"
"115","19","3"
"1019","22","2"
"709","7","1"
"794","34","3"
"1036","9","2"
"24","14","1"
"631","1","2"
"583","13","1"
"491","16","2"
"1042","14","1"
"672","11","1"
"906","33","1"
"603","32","2"
"657","6","1"
"770","8","2"
"473","31","2"
"537","18","1"
"758","6","1"
"593","14","2"
"331","1","3"
"63","25","1"
"370","14","1"
"797","28","1"
"838","14","3"
"510","20","3"
"758","32","1"
"1037","5","2"
"645","13","1"
"871","21","2"
"6","14","3"
"696","29","2"
"483","30","1"
"540","9","1"
"517","9","1"
"874","21","2"
"442","5","2"
"632","17","1"
"229","15","2"
"874","5","2"
"622","14","3"
"645","29","1"
"546","3","2"
"793","30","2"
"35","14","2"
"848","30","1"
"664","13","3"
"318","22","1"
"169","31","2"
"668","15","3"
"481","27","2"
"503","26","3"
"642","30","1"
"425","4","2"
"844","16","1"
"404","29","2"
"518","16","1"
"198","14","1"
"39","15","2"
"502","6","1"
"326","2","3"
"138","20","1"
"949","18","2"
"975","22","1"
"963","7","2"
"450","31","1"
"399","16","1"
"226","6","2"
"229","32","2"
"133","5","1"
"520","32","1"
"637","15","1"
"634","16","2"
"557","15","2"
"61","20","2"
"735","27","1"
"942","4","3"
"406","24","2"
"1012","19","3"
"1010","32","1"
"983","21","1"
"769","10","3"
"726","17","2"
"461","14","3"
"211","33","2"
"926","29","2"
"707","31","2"
"491","4","1"
"643","25","1"
"264","32","1"
"594","14","2"
"426","16","3"
"421","15","3"
"970","25","1"
"13","22","2"
"537","12","1"
"47","21","2"
"508","14","3"
"827","6","2"
"886","26","3"
"903","3","2"
"859","7","1"
"628","1","1"
"224","33","2"
"778","14","1"
"466","14","2"
"974","31","1"
"909","29","1"
"719","27","2"
"193","12","1"
"75","9","1"
"304","33","2"
"975","22","2"
"940","4","1"
"823","29","3"
"109","11","1"
"421","14","3"
"461","14","2"
"335","30","3"
"989","13","3"
"545","12","3"
"603","32","3"
"907","21","3"
"110","12","1"
"191","28","3"
"406","12","1"
"521","3","2"
"502","4","1"
"152","11","1"
"672","33","1"
"461","5","2"
"511","14","3"
