"player_id","team_id","season_id","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"1031","18","1","4","3","25","1","4","0","0","3","1","0","0","2"
"401","19","1","77","6","1102","136","307","0","2","241","36","26","32","331"
"400","1","1","79","6","1968","341","784","124","318","322","175","92","16","969"
"399","29","1","15","0","113","11","32","0","2","5","15","5","0","27"
"399","3","1","28","3","329","32","83","3","8","42","64","13","2","74"
"978","7","1","48","0","586","104","188","0","5","117","31","16","7","258"
"977","16","1","2","0","6","0","0","0","0","0","0","0","0","0"
"975","22","1","2","0","16","0","3","0","3","0","2","0","0","0"
"1030","25","1","21","0","101","17","31","0","0","28","3","1","4","45"
"814","17","1","22","0","159","21","59","1","10","22","25","5","3","51"
"390","10","1","81","38","2133","362","776","3","15","255","419","60","8","1075"
"563","17","1","58","1","635","66","147","0","0","152","10","17","28","154"
"388","23","1","79","79","2049","157","333","28","102","346","111","97","38","401"
"562","3","1","74","74","2412","569","1129","0","3","606","185","48","44","1352"
"973","2","1","18","0","88","10","19","0","5","8","6","3","4","20"
"561","16","1","60","12","872","116","268","0","0","178","16","22","72","260"
"891","10","1","37","10","701","110","241","0","3","158","17","15","18","288"
"741","16","1","73","70","2554","373","898","83","219","266","252","72","28","1024"
"560","4","1","67","21","1754","217","515","93","223","217","62","41","35","607"
"890","11","1","47","23","1310","209","523","38","114","121","129","37","12","573"
"1029","18","1","36","4","353","26","59","0","3","30","10","3","6","57"
"377","2","1","81","81","3026","711","1597","128","385","330","623","85","51","2026"
"376","6","1","68","68","2527","318","670","10","43","297","760","153","11","721"
"660","23","1","4","0","30","4","15","2","8","1","6","0","0","13"
"660","6","1","55","11","983","146","361","63","192","89","105","29","4","388"
"740","27","1","71","66","2159","319","681","81","184","199","384","89","10","840"
"889","30","1","57","19","955","87","255","42","146","178","38","25","5","249"
"739","30","1","55","55","1919","289","667","127","331","220","111","66","10","766"
"739","25","1","25","25","796","183","389","62","148","111","36","27","3","483"
"370","30","1","59","5","1513","197","447","87","219","113","102","29","3","593"
"970","16","1","10","0","134","18","45","4","17","8","12","2","1","44"
"1028","28","1","5","0","24","3","7","1","4","1","3","1","0","8"
"1027","20","1","10","0","71","1","6","0","0","13","3","2","5","2"
"369","29","1","75","74","2724","598","1188","8","43","914","163","63","25","1504"
"813","27","1","23","3","463","109","219","0","0","120","26","18","16","270"
"813","28","1","17","0","127","14","45","1","4","40","7","4","8","35"
"888","5","1","74","6","1169","137","318","70","173","212","79","44","44","374"
"887","22","1","41","0","292","33","91","11","37","25","42","5","1","81"
"886","26","1","5","0","74","4","10","0","0","24","0","0","1","9"
"886","11","1","31","9","445","21","34","0","0","121","13","5","14","55"
"659","34","1","78","78","2562","473","1001","34","98","329","215","30","41","1098"
"552","33","1","59","0","717","74","210","20","69","61","56","42","5","197"
"735","4","1","50","0","795","114","320","41","149","72","111","29","1","323"
"812","9","1","54","0","653","94","208","0","1","135","22","5","5","224"
"1026","29","1","16","0","141","30","60","0","2","25","5","3","1","88"
"1026","10","1","14","3","187","29","59","0","0","38","2","7","3","70"
"1025","4","1","49","0","839","81","241","67","212","147","34","24","6","240"
"358","19","1","66","6","734","73","180","18","50","88","28","17","10","188"
"811","32","1","2","0","11","1","3","0","0","3","0","0","0","2"
"885","25","1","38","4","689","98","250","51","149","76","23","19","18","283"
"885","30","1","19","0","418","45","115","34","87","50","10","10","3","127"
"550","6","1","80","80","2774","507","1021","111","297","430","260","80","51","1511"
"884","18","1","77","1","893","129","290","0","4","212","44","34","34","273"
"1024","23","1","4","0","23","2","5","0","1","3","1","0","0","4"
"655","23","1","17","17","429","35","71","0","0","135","16","7","16","87"
"655","6","1","12","7","313","32","59","0","0","97","10","2","10","87"
"654","27","1","65","11","887","136","263","0","0","193","27","18","35","359"
"883","6","1","17","0","149","12","26","5","10","14","3","5","0","31"
"883","19","1","4","1","50","2","11","0","5","6","6","0","4","4"
"883","13","1","10","6","163","15","35","7","16","12","7","5","3","41"
"349","19","1","80","80","2880","430","928","71","183","327","782","188","5","1268"
"347","3","1","52","6","868","149","267","0","2","200","41","17","37","328"
"345","22","1","78","78","2528","555","1069","25","70","238","513","90","3","1368"
"969","10","1","72","65","2091","220","552","86","227","218","218","67","10","600"
"342","9","1","79","7","1244","107","232","0","0","333","58","34","22","349"
"968","17","1","5","0","112","12","26","5","10","11","7","7","5","31"
"968","22","1","7","0","31","3","6","1","3","4","1","2","0","9"
"810","18","1","82","55","2358","274","731","76","252","325","84","34","36","756"
"967","33","1","13","0","168","22","62","5","16","30","19","4","4","64"
"881","19","1","72","72","2287","300","524","0","1","684","42","40","127","745"
"879","20","1","82","35","2639","473","893","68","178","710","249","47","61","1180"
"1023","11","1","5","0","45","3","5","0","0","7","0","0","0","7"
"807","6","1","24","10","431","50","109","0","1","88","12","2","30","129"
"329","13","1","73","73","2504","610","1179","66","168","513","190","38","47","1681"
"543","22","1","23","0","197","31","59","23","42","23","3","1","5","93"
"543","13","1","7","0","18","4","8","3","4","5","0","0","0","11"
"966","31","1","54","17","931","118","277","42","118","169","45","14","15","327"
"326","2","1","48","48","1576","211","402","0","1","498","107","48","72","561"
"324","30","1","76","76","2319","374","838","119","297","226","456","75","3","997"
"540","22","1","80","1","1685","285","632","129","308","196","96","27","4","783"
"804","25","1","75","75","2497","399","811","81","205","260","855","48","4","1106"
"965","26","1","31","0","372","26","72","11","34","44","20","11","6","69"
"803","17","1","16","0","80","4","5","0","0","7","0","2","5","14"
"878","6","1","17","0","178","16","38","1","10","38","6","8","1","44"
"878","18","1","18","4","288","26","76","4","23","75","17","7","2","65"
"801","23","1","13","0","85","9","28","0","0","24","0","2","3","25"
"315","1","1","11","0","66","11","21","0","0","17","0","1","2","28"
"315","28","1","34","14","458","52","112","0","0","104","15","14","23","135"
"537","18","1","58","47","1856","279","620","110","260","172","68","19","7","764"
"963","7","1","19","7","278","25","59","11","28","47","7","3","6","66"
"963","10","1","40","13","764","76","189","27","95","118","45","25","27","189"
"308","34","1","80","48","2222","303","550","0","1","601","105","93","45","751"
"649","23","1","24","7","429","75","131","0","0","116","6","16","10","165"
"649","26","1","51","30","851","159","317","0","1","252","17","14","46","370"
"304","33","1","76","76","2605","525","988","9","23","579","187","103","69","1315"
"303","11","1","64","0","783","135","328","47","133","51","109","27","1","353"
"535","32","1","41","2","838","81","202","43","118","184","51","20","2","228"
"962","3","1","60","5","1015","132","296","40","107","222","145","28","21","382"
"648","11","1","81","81","2650","388","844","4","37","302","566","114","12","1029"
"876","27","1","69","69","1686","271","578","0","0","360","104","54","140","606"
"300","33","1","78","19","1969","366","899","109","339","255","135","74","38","1000"
"1020","19","1","7","0","35","1","3","0","0","11","2","0","0","2"
"296","31","1","74","64","2062","242","570","138","348","171","78","63","4","774"
"534","4","1","72","51","1597","211","386","23","60","382","150","47","57","533"
"874","26","1","52","8","760","72","182","0","2","199","43","10","33","174"
"961","34","1","72","39","1686","227","514","30","88","251","252","66","34","574"
"293","17","1","79","75","2193","332","604","0","3","634","38","41","193","798"
"1019","22","1","73","16","1387","169","344","0","1","395","84","36","39","390"
"645","29","1","71","17","1869","304","747","96","264","170","145","73","26","803"
"798","23","1","82","0","1200","134","333","37","96","121","238","35","6","348"
"728","34","1","57","14","930","93","189","0","0","173","17","24","21","237"
"285","11","1","82","69","2758","440","979","154","378","258","164","102","9","1300"
"797","28","1","26","0","319","26","77","16","44","43","20","6","2","75"
"644","3","1","80","80","2603","553","1267","176","459","258","198","80","15","1876"
"727","1","1","48","48","1233","185","362","2","9","297","109","43","35","414"
"726","17","1","52","1","542","71","182","39","99","74","18","18","6","209"
"1018","11","1","29","0","208","19","44","2","2","40","4","3","5","45"
"725","13","1","80","27","2253","434","834","5","33","551","110","68","50","999"
"278","13","1","56","0","488","55","98","0","2","120","8","14","15","173"
"960","32","1","18","0","158","13","22","0","0","61","3","4","2","35"
"873","16","1","67","18","1401","253","559","28","78","241","84","21","5","805"
"272","3","1","75","71","2563","345","809","129","343","309","500","102","23","1011"
"271","27","1","73","73","2611","482","1026","88","211","1112","184","45","28","1476"
"270","25","1","67","56","991","179","357","0","0","216","8","18","45","432"
"269","18","1","82","82","2889","644","1309","0","1","488","129","47","120","1673"
"267","26","1","73","0","1261","185","397","1","4","149","164","47","29","479"
"266","5","1","29","0","285","28","72","1","5","34","42","33","9","76"
"796","17","1","32","27","1014","139","312","43","124","184","63","30","20","364"
"796","30","1","25","25","810","113","270","44","120","106","29","22","10","304"
"527","5","1","73","73","2634","496","978","1","3","714","233","74","31","1203"
"258","3","1","81","1","1723","253","576","71","174","209","100","58","18","672"
"526","1","1","80","31","2103","346","688","69","171","209","377","80","4","933"
"1017","25","1","1","0","2","0","0","0","0","0","0","0","0","0"
"1016","5","1","40","0","632","78","167","6","30","52","70","28","0","203"
"1016","29","1","11","0","94","3","19","0","6","11","14","4","0","12"
"641","19","1","23","10","602","107","203","0","1","94","13","10","12","272"
"641","15","1","53","16","1406","238","484","0","3","253","50","30","20","631"
"1015","6","1","24","20","553","79","147","0","0","128","8","8","8","218"
"1015","23","1","47","47","1018","152","305","0","0","207","19","18","17","357"
"249","1","1","11","1","98","21","42","0","0","33","0","2","5","54"
"249","27","1","39","1","336","47","108","0","2","97","7","8","20","106"
"248","2","1","82","0","1649","242","557","120","289","150","124","35","20","681"
"871","21","1","39","23","1032","178","406","39","131","177","40","19","7","436"
"719","33","1","64","62","1999","253","542","36","98","327","192","81","74","750"
"870","13","1","80","80","2653","215","596","133","391","351","655","134","29","630"
"956","31","1","24","2","112","7","28","1","8","11","4","2","1","16"
"638","7","1","32","15","838","177","376","0","0","225","46","16","48","397"
"239","7","1","80","66","2047","234","341","0","1","575","42","41","142","566"
"793","4","1","39","0","528","49","121","0","1","113","30","12","22","139"
"520","32","1","81","8","1549","146","346","123","287","160","43","29","19","475"
"867","13","1","18","0","135","14","45","0","4","25","19","5","3","42"
"519","4","1","45","2","589","100","214","14","39","65","33","20","7","283"
"233","27","1","79","63","2069","271","682","103","289","240","148","58","54","709"
"955","20","1","1","0","13","2","3","0","0","0","0","0","0","6"
"955","21","1","7","0","81","10","30","1","3","7","11","1","1","28"
"230","9","1","72","72","2554","514","1161","89","300","291","338","47","7","1312"
"229","21","1","25","25","699","91","196","6","25","118","75","25","28","229"
"229","2","1","13","0","123","17","41","2","9","24","14","8","9","42"
"636","6","1","4","0","32","2","3","0","0","5","1","0","3","6"
