"name","year","team","games","games_started","minutes_played","field_goals","field_goal_attempts","three_point","three_point_attempts","rebounds","assists","steals","blocks","points"
"Kyle Singler","2017","OKC","32","2","385","34","83","7","37","48","9","7","5","88"
"Marcus Smart","2017","BOS","79","24","2399","269","749","94","332","306","364","125","34","835"
"Ish Smith","2017","DET","81","32","1955","329","749","28","105","235","418","61","33","758"
"J.R. Smith","2017","CLE","41","35","1187","123","356","95","271","113","62","40","11","351"
"Jason Smith","2017","WAS","74","3","1068","174","329","37","78","258","37","21","55","420"
"Tony Snell","2017","MIL","80","80","2336","246","541","144","355","248","96","54","14","683"
"Marreese Speights","2017","LAC","82","2","1286","244","548","103","277","373","66","23","41","711"
"Tiago Splitter","2017","PHI","8","0","76","14","31","2","6","22","4","1","1","39"
"Nik Stauskas","2017","PHI","80","27","2188","251","634","132","359","226","188","45","32","756"
"Lance Stephenson","2017","TOT","18","0","361","54","120","6","20","52","59","5","3","122"
"Lance Stephenson","2017","NOP","6","0","162","26","55","1","10","18","29","2","1","58"
"Lance Stephenson","2017","MIN","6","0","67","10","21","0","2","10","5","0","0","21"
"Lance Stephenson","2017","IND","6","0","132","18","44","5","8","24","25","3","2","43"
"Jarnell Stokes","2017","DEN","2","0","7","1","1","0","0","2","2","1","0","3"
"Diamond Stone","2017","LAC","7","0","24","3","13","0","0","6","0","0","1","10"
"Rodney Stuckey","2017","IND","39","0","696","91","244","19","60","84","84","16","0","281"
"Jared Sullinger","2017","TOR","11","1","118","15","48","3","18","27","3","4","1","37"
"Edy Tavares","2017","TOT","2","0","28","4","5","0","0","11","1","0","6","8"
"Edy Tavares","2017","ATL","1","0","4","1","1","0","0","1","0","0","0","2"
"Edy Tavares","2017","CLE","1","0","24","3","4","0","0","10","1","0","6","6"
"Isaiah Taylor","2017","HOU","4","0","52","1","7","0","2","3","3","1","1","3"
"Jeff Teague","2017","IND","82","82","2657","402","909","90","252","331","639","100","32","1254"
"Mirza Teletovic","2017","MIL","70","2","1133","156","418","104","305","162","48","12","13","451"
"Garrett Temple","2017","SAC","65","21","1728","183","432","82","220","183","169","84","28","506"
"Jason Terry","2017","MIL","74","0","1365","105","243","73","171","106","98","45","20","307"
"Isaiah Thomas","2017","BOS","76","76","2569","682","1473","245","646","205","449","70","13","2199"
"Lance Thomas","2017","NYK","46","15","968","97","244","38","85","142","35","21","5","275"
"Hollis Thompson","2017","TOT","40","9","752","77","200","32","95","111","35","20","6","205"
"Hollis Thompson","2017","PHI","31","1","561","66","159","26","71","83","26","14","6","171"
"Hollis Thompson","2017","NOP","9","8","191","11","41","6","24","28","9","6","0","34"
"Klay Thompson","2017","GSW","78","78","2649","644","1376","268","647","285","160","66","40","1742"
"Tristan Thompson","2017","CLE","78","78","2336","262","437","0","3","716","77","39","84","630"
"Marcus Thornton","2017","WAS","33","1","575","84","210","28","80","76","41","19","3","219"
"Mike Tobey","2017","CHO","2","0","25","1","4","0","0","3","1","0","0","2"
"Anthony Tolliver","2017","SAC","65","9","1477","155","351","90","230","239","77","33","20","461"
"Axel Toupane","2017","TOT","4","0","47","5","9","1","4","1","0","1","1","11"
"Axel Toupane","2017","MIL","2","0","6","0","1","0","1","0","0","0","0","0"
"Axel Toupane","2017","NOP","2","0","41","5","8","1","3","1","0","1","1","11"
"Karl-Anthony Towns","2017","MIN","82","82","3030","802","1479","101","275","1007","220","57","103","2061"
"P.J. Tucker","2017","TOT","81","21","2236","199","482","70","196","472","99","116","19","540"
"P.J. Tucker","2017","PHO","57","17","1627","147","354","46","136","343","73","85","14","401"
"P.J. Tucker","2017","TOR","24","4","609","52","128","24","60","129","26","31","5","139"
"Evan Turner","2017","POR","65","12","1658","235","552","31","118","247","205","53","24","586"
"Myles Turner","2017","IND","81","81","2541","444","869","40","115","587","106","74","173","1173"
"Beno Udrih","2017","DET","39","0","560","92","197","11","32","57","131","13","0","227"
"Tyler Ulis","2017","PHO","61","15","1123","184","437","21","79","95","226","48","5","444"
"Jarrod Uthoff","2017","DAL","9","0","115","16","38","3","9","22","9","2","4","40"
"Jonas Valanciunas","2017","TOR","80","80","2066","391","702","1","2","759","57","37","63","959"
"Denzel Valentine","2017","CHI","57","0","976","102","288","73","208","151","63","30","7","291"
"Fred VanVleet","2017","TOR","37","0","294","39","111","11","29","42","35","17","2","107"
"Anderson Varejao","2017","GSW","14","1","92","5","14","0","0","27","10","3","3","18"
"Greivis Vasquez","2017","BRK","3","0","39","2","8","1","3","2","5","1","1","7"
"Rashad Vaughn","2017","MIL","41","2","458","57","156","26","81","49","23","19","10","142"
"Noah Vonleh","2017","POR","74","41","1265","130","270","7","20","387","31","30","27","327"
"Nikola Vucevic","2017","ORL","75","55","2163","483","1031","23","75","779","208","77","74","1096"
"Sasha Vujacic","2017","NYK","42","4","408","42","136","23","74","59","52","13","2","124"
"Dwyane Wade","2017","CHI","60","59","1792","414","955","45","145","271","229","86","41","1096"
"Dion Waiters","2017","MIA","46","43","1384","281","663","85","215","154","200","41","20","729"
"Kemba Walker","2017","CHO","79","79","2739","643","1449","240","602","308","435","85","22","1830"
"John Wall","2017","WAS","78","78","2836","647","1435","89","272","326","831","157","49","1805"
"Taurean Waller-Prince","2017","ATL","59","10","981","114","285","33","102","157","55","43","27","335"
"T.J. Warren","2017","PHO","66","59","2048","403","814","26","98","339","75","76","39","951"
"C.J. Watson","2017","ORL","62","9","1012","96","248","32","105","89","114","43","2","281"
"Briante Weber","2017","TOT","20","0","205","25","60","1","10","26","21","12","1","62"
"Briante Weber","2017","GSW","7","0","46","5","14","0","3","4","5","3","1","12"
"Briante Weber","2017","CHO","13","0","159","20","46","1","7","22","16","9","0","50"
"David West","2017","GSW","68","0","854","135","252","3","8","203","151","42","48","316"
"Russell Westbrook","2017","OKC","81","81","2802","824","1941","200","583","864","840","133","31","2558"
"Okaro White","2017","MIA","35","0","471","33","87","12","34","82","21","10","10","98"
"Isaiah Whitehead","2017","BRK","73","26","1643","204","508","44","149","184","192","42","36","543"
"Hassan Whiteside","2017","MIA","77","77","2513","542","973","0","0","1088","57","56","161","1309"
"Andrew Wiggins","2017","MIN","82","82","3048","709","1570","103","289","329","189","82","30","1933"
"C.J. Wilcox","2017","ORL","22","0","108","8","31","3","15","12","12","2","1","21"
"Alan Williams","2017","PHO","47","0","708","138","267","0","1","292","23","27","32","346"
"Deron Williams","2017","TOT","64","44","1657","263","600","85","234","147","360","31","8","701"
"Deron Williams","2017","DAL","40","40","1171","195","453","63","181","102","274","25","2","522"
"Deron Williams","2017","CLE","24","4","486","68","147","22","53","45","86","6","6","179"
"Derrick Williams","2017","TOT","50","11","804","108","244","30","97","130","28","14","7","304"
"Derrick Williams","2017","MIA","25","11","377","54","137","9","45","73","14","9","5","148"
"Derrick Williams","2017","CLE","25","0","427","54","107","21","52","57","14","5","2","156"
"Lou Williams","2017","TOT","81","1","1994","428","998","163","446","202","239","80","19","1421"
"Lou Williams","2017","LAL","58","1","1403","326","734","122","317","132","183","65","10","1078"
"Lou Williams","2017","HOU","23","0","591","102","264","41","129","70","56","15","9","343"
"Marvin Williams","2017","CHO","76","76","2295","297","704","124","354","498","106","58","53","849"
"Reggie Williams","2017","NOP","6","0","79","8","23","5","11","6","4","3","0","27"
"Troy Williams","2017","TOT","30","16","557","73","167","18","62","69","25","27","10","185"
"Troy Williams","2017","MEM","24","13","418","51","123","10","41","45","19","24","9","127"
"Troy Williams","2017","HOU","6","3","139","22","44","8","21","24","6","3","1","58"
"Kyle Wiltjer","2017","HOU","14","0","44","4","14","4","13","10","2","3","1","13"
"Justise Winslow","2017","MIA","18","15","625","80","225","7","35","94","66","27","6","196"
"Jeff Withey","2017","UTA","51","1","432","55","103","0","1","121","7","16","32","146"
"Christian Wood","2017","CHO","13","0","107","12","23","0","5","29","2","3","6","35"
"Metta World","2017","LAL","25","2","160","19","68","9","38","20","11","9","2","57"
"Brandan Wright","2017","MEM","28","5","447","83","135","0","1","78","15","11","20","189"
"Delon Wright","2017","TOR","27","0","446","49","116","10","30","48","57","27","11","150"
"James Young","2017","BOS","29","0","220","25","58","12","35","26","4","10","2","68"
"Joe Young","2017","IND","33","0","135","26","72","5","23","17","15","4","0","68"
"Nick Young","2017","LAL","60","60","1556","272","633","170","421","137","58","37","14","791"
"Thaddeus Young","2017","IND","74","74","2237","362","687","45","118","449","122","114","30","814"
"Cody Zeller","2017","CHO","62","58","1725","253","443","0","1","405","99","62","58","639"
"Tyler Zeller","2017","BOS","51","5","525","78","158","0","1","124","42","7","21","178"
"Stephen Zimmerman","2017","ORL","19","0","108","10","31","0","0","35","4","2","5","23"
"Paul Zipser","2017","CHI","44","18","843","88","221","33","99","125","36","15","16","240"
"Ivica Zubac","2017","LAL","38","11","609","126","238","0","3","159","30","14","33","284"
"Quincy Acy","2016","SAC","59","29","876","119","214","19","49","188","27","29","24","307"
"Jordan Adams","2016","MEM","2","0","15","2","6","0","1","2","3","3","0","7"
"Steven Adams","2016","OKC","80","80","2014","261","426","0","0","533","62","42","89","636"
"Arron Afflalo","2016","NYK","71","57","2371","354","799","91","238","266","144","25","10","909"
"Alexis Ajinca","2016","NOP","59","17","861","150","315","0","1","269","31","19","36","352"
"Cole Aldrich","2016","LAC","60","5","800","134","225","0","0","288","50","47","68","328"
"LaMarcus Aldridge","2016","SAS","74","74","2261","536","1045","0","16","632","110","38","81","1331"
"Cliff Alexander","2016","POR","8","0","36","5","10","0","0","6","0","1","2","10"
"Lavoy Allen","2016","IND","79","28","1599","191","370","0","0","424","76","26","42","428"
"Tony Allen","2016","MEM","64","57","1620","215","469","15","42","296","70","110","18","535"
"Al-Farouq Aminu","2016","POR","82","82","2341","299","719","126","349","499","138","72","53","839"
"Lou Amundson","2016","NYK","29","0","204","19","53","0","0","49","12","6","7","52"
"Chris Andersen","2016","TOT","27","15","402","38","72","4","14","98","12","15","13","105"
"Chris Andersen","2016","MIA","7","1","36","4","10","2","5","9","3","1","3","13"
"Chris Andersen","2016","MEM","20","14","366","34","62","2","9","89","9","14","10","92"
"Alan Anderson","2016","WAS","13","0","192","21","59","12","37","27","14","4","1","65"
"James Anderson","2016","SAC","51","15","721","67","178","23","86","86","41","21","14","179"
"Justin Anderson","2016","DAL","55","9","647","71","175","22","83","132","29","19","25","208"
"Kyle Anderson","2016","SAS","78","11","1245","138","295","12","37","244","123","60","29","350"
"Ryan Anderson","2016","NOP","66","7","2008","397","929","131","358","396","73","38","25","1124"
"Giannis Antetokounmpo","2016","MIL","80","79","2823","513","1013","28","109","612","345","94","113","1350"
"Thanasis Antetokounmpo","2016","NYK","2","0","6","3","4","0","1","1","0","0","0","6"
"Carmelo Anthony","2016","NYK","72","72","2530","567","1307","105","310","556","299","62","38","1573"
"Joel Anthony","2016","DET","19","0","96","6","10","0","0","21","1","2","12","18"
"Keith Appling","2016","ORL","5","0","27","2","8","0","3","1","1","1","0","6"
"Trevor Ariza","2016","HOU","81","81","2859","357","859","185","499","366","188","160","26","1025"
"Darrell Arthur","2016","DEN","70","16","1516","221","489","45","117","293","96","53","48","527"
"Omer Asik","2016","NOP","68","64","1178","104","195","0","0","414","26","21","23","269"
"D.J. Augustin","2016","TOT","62","0","1178","148","350","68","168","95","198","38","4","467"
"D.J. Augustin","2016","OKC","34","0","519","46","121","24","61","43","66","13","2","142"
"D.J. Augustin","2016","DEN","28","0","659","102","229","44","107","52","132","25","2","325"
"Jeff Ayres","2016","LAC","17","0","107","12","23","0","1","22","5","0","3","30"
"Luke Babbitt","2016","NOP","47","13","845","122","289","44","109","148","53","11","7","327"
"Cameron Bairstow","2016","CHI","18","2","103","13","40","1","5","28","6","2","3","34"
"Leandro Barbosa","2016","GSW","68","0","1079","171","370","39","110","117","82","44","10","433"
"J.J. Barea","2016","DAL","74","16","1667","317","711","100","260","152","302","26","2","808"
"Andrea Bargnani","2016","BRK","46","0","634","127","279","3","16","97","18","4","9","304"
"Harrison Barnes","2016","GSW","66","59","2042","295","633","82","214","325","117","41","10","774"
"Matt Barnes","2016","MEM","76","45","2190","264","693","119","370","420","163","78","57","758"
"Will Barton","2016","DEN","82","1","2353","425","983","112","325","476","203","71","39","1178"
"Brandon Bass","2016","LAL","66","0","1342","174","317","0","2","285","74","33","55","473"
"Nicolas Batum","2016","CHO","70","70","2448","372","873","139","399","428","403","65","43","1046"
"Jerryd Bayless","2016","MIL","52","18","1505","185","437","101","231","141","163","47","11","541"
"Kent Bazemore","2016","ATL","75","68","2083","320","725","109","305","379","171","98","38","872"
"Bradley Beal","2016","WAS","55","35","1708","359","799","105","271","188","162","54","11","958"
"Michael Beasley","2016","HOU","20","0","363","107","205","3","9","98","16","11","9","255"
"Marco Belinelli","2016","SAC","68","7","1672","245","635","91","297","117","127","37","2","696"
"Anthony Bennett","2016","TOR","19","0","84","8","27","3","14","23","0","5","0","28"
"Patrick Beverley","2016","HOU","71","63","2041","258","594","124","310","250","239","94","26","700"
"Bismack Biyombo","2016","TOR","82","22","1808","156","288","0","1","655","29","19","133","454"
"Nemanja Bjelica","2016","MIN","60","0","1075","110","235","48","125","210","83","26","21","308"
"Tarik Black","2016","LAL","39","0","496","57","104","0","0","157","16","14","18","133"
"DeJuan Blair","2016","WAS","29","0","218","28","68","0","1","57","11","8","2","61"
"Steve Blake","2016","DET","58","2","986","93","240","52","151","89","200","24","5","254"
"Eric Bledsoe","2016","PHO","31","31","1059","223","492","48","129","125","190","63","19","632"
"Bojan Bogdanovic","2016","BRK","79","39","2115","324","749","129","338","255","99","29","5","887"
"Andrew Bogut","2016","GSW","70","66","1451","175","279","1","1","492","162","33","114","375"
"Matt Bonner","2016","SAS","30","2","206","29","57","15","34","27","9","6","1","76"
"Devin Booker","2016","PHO","76","51","2108","367","867","99","289","187","200","44","20","1048"
"Trevor Booker","2016","UTA","79","2","1632","190","388","12","41","452","84","59","41","463"
"Chris Bosh","2016","MIA","53","53","1778","358","767","81","222","390","128","36","34","1010"
"Avery Bradley","2016","BOS","76","72","2536","456","1019","147","407","220","158","117","19","1155"
"Elton Brand","2016","PHI","17","1","225","31","72","0","1","63","18","9","8","70"
"Corey Brewer","2016","HOU","82","12","1669","212","552","61","224","199","109","84","19","590"
"Aaron Brooks","2016","CHI","69","0","1108","188","469","66","185","101","180","30","10","491"
"Anthony Brown","2016","LAL","29","11","599","39","126","20","70","70","19","14","5","115"
"Lorenzo Brown","2016","PHO","8","0","61","8","25","1","8","7","11","3","1","20"
"Markel Brown","2016","BRK","62","6","982","127","322","38","121","122","91","38","15","363"
"Kobe Bryant","2016","LAL","66","66","1863","398","1113","133","467","247","184","62","13","1161"
"Chase Budinger","2016","TOT","66","2","929","104","239","24","86","150","64","32","10","271"
"Chase Budinger","2016","IND","49","2","729","81","194","20","69","121","49","29","9","216"
"Chase Budinger","2016","PHO","17","0","200","23","45","4","17","29","15","3","1","55"
"Reggie Bullock","2016","DET","37","0","429","43","98","22","53","68","27","10","2","122"
"Trey Burke","2016","UTA","64","0","1366","262","634","88","256","112","148","35","6","679"
"Alec Burks","2016","UTA","31","3","797","137","334","32","79","109","63","18","4","412"
"Caron Butler","2016","SAC","17","1","176","25","59","3","18","22","10","9","1","63"
"Jimmy Butler","2016","CHI","67","67","2474","470","1035","64","205","358","321","110","43","1399"
"Rasual Butler","2016","SAS","46","0","432","49","104","15","49","56","24","13","23","124"
"Bruno Caboclo","2016","TOR","6","1","43","1","12","1","7","2","1","2","1","3"
"Jose Calderon","2016","NYK","72","72","2024","209","455","84","203","229","298","63","7","544"
"Kentavious Caldwell-Pope","2016","DET","76","76","2789","403","960","114","369","282","138","110","17","1105"
"Isaiah Canaan","2016","PHI","77","39","1966","260","722","176","485","174","137","56","12","846"
"Clint Capela","2016","HOU","77","35","1471","231","397","0","1","494","47","59","92","542"
"DeMarre Carroll","2016","TOR","26","22","786","105","270","46","118","122","27","44","6","286"
"Vince Carter","2016","MEM","60","3","1005","133","343","59","169","146","56","38","16","395"
"Michael Carter-Williams","2016","MIL","54","37","1649","251","555","15","55","276","281","80","41","623"
"Omri Casspi","2016","SAC","69","21","1880","299","622","112","274","410","95","56","17","813"
"Willie Cauley-Stein","2016","SAC","66","39","1412","191","339","0","2","352","37","48","66","463"
"Mario Chalmers","2016","TOT","61","7","1373","182","444","46","149","157","230","88","13","628"
"Mario Chalmers","2016","MIA","6","0","120","10","32","1","11","14","19","8","1","33"
"Mario Chalmers","2016","MEM","55","7","1253","172","412","45","138","143","211","80","12","595"
"Tyson Chandler","2016","PHO","66","60","1618","183","314","0","1","576","64","36","44","472"
"Rakeem Christmas","2016","IND","1","0","6","2","2","0","0","1","0","0","0","4"
"Ian Clark","2016","GSW","66","1","578","89","202","30","84","68","64","17","13","236"
"Coty Clarke","2016","BOS","3","0","6","2","4","2","2","1","0","0","0","6"
"Jordan Clarkson","2016","LAL","79","79","2552","475","1098","111","320","313","192","88","7","1225"
"Norris Cole","2016","NOP","45","23","1198","196","484","33","102","151","167","37","5","477"
"Darren Collison","2016","SAC","74","15","2219","377","776","87","217","169","318","76","4","1035"
"Nick Collison","2016","OKC","59","4","699","50","109","0","2","171","52","15","16","123"
"Mike Conley","2016","MEM","56","56","1761","294","696","78","215","164","342","67","16","857"
"Pat Connaughton","2016","POR","34","0","143","13","49","5","21","32","10","2","0","36"
"Chris Copeland","2016","MIL","24","1","156","17","51","10","36","10","11","2","0","50"
"Bryce Cotton","2016","TOT","8","0","39","4","10","0","3","0","3","3","0","8"
"Bryce Cotton","2016","PHO","3","0","33","2","8","0","3","0","3","3","0","4"
"Bryce Cotton","2016","MEM","5","0","6","2","2","0","0","0","0","0","0","4"
"DeMarcus Cousins","2016","SAC","65","65","2246","601","1332","70","210","747","214","101","92","1748"
"Robert Covington","2016","PHI","67","49","1903","274","712","170","482","419","97","105","40","858"
"Allen Crabbe","2016","POR","81","8","2105","311","678","112","285","216","99","63","16","832"
"Jamal Crawford","2016","LAC","79","5","2126","379","939","117","344","145","183","52","12","1120"
"Jae Crowder","2016","BOS","73","73","2308","360","813","122","363","373","135","126","35","1038"
"Dante Cunningham","2016","NOP","80","46","1971","186","412","55","174","236","77","42","33","484"
"Jared Cunningham","2016","TOT","44","3","410","36","105","12","39","38","20","14","2","120"
"Jared Cunningham","2016","CLE","40","3","355","32","91","10","32","29","19","12","2","104"
"Jared Cunningham","2016","MIL","4","0","55","4","14","2","7","9","1","2","0","16"
"Seth Curry","2016","SAC","44","9","692","102","224","50","111","60","67","22","3","299"
"Stephen Curry","2016","GSW","79","79","2700","805","1598","402","886","430","527","169","15","2375"
"Troy Daniels","2016","CHO","43","0","476","89","187","59","122","57","21","11","3","242"
"Anthony Davis","2016","NOP","61","61","2164","560","1136","35","108","627","116","78","125","1481"
"Ed Davis","2016","POR","81","0","1684","206","337","0","0","599","88","57","72","526"
"Branden Dawson","2016","LAC","6","0","29","2","5","0","0","4","0","0","1","5"
"Dewayne Dedmon","2016","ORL","58","20","705","99","177","0","0","228","13","22","46","255"
"Bryce Dejean-Jones","2016","NOP","14","11","279","28","69","12","32","48","15","10","2","79"
"Sam Dekker","2016","HOU","3","0","6","0","0","0","0","1","0","1","0","0"
"Matthew Dellavedova","2016","CLE","76","14","1867","207","511","98","239","162","337","44","9","569"
"Luol Deng","2016","MIA","74","73","2394","339","745","88","256","443","140","74","29","911"
"DeMar DeRozan","2016","TOR","78","78","2804","614","1377","47","139","349","315","81","21","1830"
"Boris Diaw","2016","SAS","76","4","1386","202","383","25","69","233","176","26","21","485"
"Gorgui Dieng","2016","MIN","82","39","2220","308","579","6","20","585","143","94","96","827"
"Spencer Dinwiddie","2016","DET","12","0","159","19","54","1","10","17","22","3","0","58"
"Toney Douglas","2016","NOP","61","18","1262","183","445","81","203","143","157","70","5","531"
"Goran Dragic","2016","MIA","72","72","2363","417","875","64","205","277","419","71","17","1018"
"Andre Drummond","2016","DET","81","81","2666","552","1060","2","6","1198","67","119","112","1314"
"Jared Dudley","2016","WAS","81","41","2098","233","487","100","238","286","170","75","18","638"
"Duje Dukan","2016","SAC","1","0","24","2","10","2","5","4","1","1","0","6"
"Tim Duncan","2016","SAS","61","60","1536","215","441","0","2","447","163","47","78","522"
"Mike Dunleavy","2016","CHI","31","30","703","77","188","39","99","83","39","14","10","222"
"Kevin Durant","2016","OKC","72","72","2578","698","1381","186","481","589","361","69","85","2029"
"Cleanthony Early","2016","NYK","17","2","154","12","40","4","15","26","6","2","3","31"
"Jarell Eddie","2016","WAS","26","0","147","20","65","15","47","23","5","5","1","63"
"Wayne Ellington","2016","BRK","76","41","1615","218","561","96","268","174","83","48","5","586"
"Monta Ellis","2016","IND","81","81","2734","436","1021","87","282","271","383","150","37","1121"
"James Ennis","2016","TOT","22","5","329","54","113","26","58","42","21","16","5","159"
"James Ennis","2016","MIA","3","0","7","0","0","0","0","0","1","0","0","0"
"James Ennis","2016","MEM","10","0","40","4","13","2","8","7","2","4","2","16"
"James Ennis","2016","NOP","9","5","282","50","100","24","50","35","18","12","3","143"
"Tyler Ennis","2016","MIL","46","7","654","84","187","13","39","75","95","25","1","206"
"Jeremy Evans","2016","DAL","30","2","251","26","48","4","16","54","2","6","9","71"
"Tyreke Evans","2016","NOP","25","25","765","136","314","33","85","129","164","32","8","379"
"Festus Ezeli","2016","GSW","46","13","770","125","228","0","0","257","32","18","50","320"
"Kenneth Faried","2016","DEN","67","64","1694","349","626","1","2","581","79","32","60","835"
"Jordan Farmar","2016","MEM","12","10","291","42","100","16","45","25","37","15","2","110"
"Derrick Favors","2016","UTA","62","59","1983","418","811","0","4","503","94","74","91","1016"
"Cristiano Felicio","2016","CHI","31","4","321","40","72","0","4","102","26","6","13","105"
"Raymond Felton","2016","DAL","80","31","2192","277","682","60","213","258","284","68","15","763"
"Evan Fournier","2016","ORL","79","71","2566","429","929","156","390","225","213","96","2","1213"
"Randy Foye","2016","TOT","81","8","1642","169","482","75","250","156","161","39","29","474"
"Randy Foye","2016","DEN","54","7","1070","117","333","50","169","105","112","26","16","323"
"Randy Foye","2016","OKC","27","1","572","52","149","25","81","51","49","13","13","151"
"Tim Frazier","2016","TOT","51","2","741","96","229","16","48","110","162","33","2","261"
"Tim Frazier","2016","POR","35","1","272","20","60","3","17","39","42","10","1","51"
"Tim Frazier","2016","NOP","16","1","469","76","169","13","31","71","120","23","1","210"
"Jimmer Fredette","2016","TOT","6","0","18","2","5","1","2","0","1","1","0","9"
"Jimmer Fredette","2016","NOP","4","0","13","1","4","0","1","0","1","1","0","2"
"Jimmer Fredette","2016","NYK","2","0","5","1","1","1","1","0","0","0","0","7"
"Channing Frye","2016","TOT","70","32","1200","152","347","91","235","234","71","29","28","425"
"Channing Frye","2016","ORL","44","29","754","81","186","48","121","141","45","21","20","229"
"Channing Frye","2016","CLE","26","3","446","71","161","43","114","93","26","8","8","196"
"Danilo Gallinari","2016","DEN","53","53","1839","287","700","87","239","281","135","42","19","1036"
"Langston Galloway","2016","NYK","82","7","2033","231","588","77","224","288","207","77","22","625"
"Kevin Garnett","2016","MIN","38","38","556","54","115","0","1","150","62","28","10","122"
"Marc Gasol","2016","MEM","52","52","1791","328","707","2","3","362","196","50","70","861"
"Pau Gasol","2016","CHI","72","72","2291","467","995","24","69","793","294","42","146","1187"
"Rudy Gay","2016","SAC","70","70","2379","466","1007","74","215","456","120","100","51","1204"
"Alonzo Gee","2016","NOP","73","38","1632","132","255","17","60","245","72","63","13","325"
"Paul George","2016","IND","81","81","2819","605","1449","210","566","563","329","152","29","1874"
"Taj Gibson","2016","CHI","73","55","1936","263","500","0","3","504","106","47","77","627"
"Manu Ginobili","2016","SAS","58","0","1134","197","435","70","179","146","177","66","11","555"
"Rudy Gobert","2016","UTA","61","60","1932","198","354","0","0","668","91","45","135","557"
"Drew Gooden","2016","WAS","30","0","305","33","103","7","41","85","13","8","11","82"
"Archie Goodwin","2016","PHO","57","13","1114","176","422","23","99","142","118","27","13","505"
"Aaron Gordon","2016","ORL","78","37","1863","274","579","42","142","507","128","59","55","719"
"Eric Gordon","2016","NOP","45","44","1481","231","552","113","294","99","121","43","14","686"
"Marcin Gortat","2016","WAS","75","74","2256","433","764","0","1","741","106","47","96","1012"
"Andrew Goudelock","2016","HOU","8","0","50","9","20","1","9","2","4","6","2","22"
"Jerami Grant","2016","PHI","77","52","2066","251","599","35","146","361","135","54","127","749"
"Jerian Grant","2016","NYK","76","6","1265","154","391","22","100","143","177","50","10","426"
"Danny Green","2016","SAS","79","79","2062","211","561","116","349","303","141","79","64","572"
"Draymond Green","2016","GSW","81","81","2808","401","819","100","258","769","598","119","113","1131"
"Erick Green","2016","TOT","9","0","42","5","13","1","5","6","3","1","0","13"
"Erick Green","2016","DEN","3","0","7","0","1","0","1","1","1","0","0","0"
"Erick Green","2016","UTA","6","0","35","5","12","1","4","5","2","1","0","13"
"Gerald Green","2016","MIA","69","14","1557","230","587","84","260","163","56","38","19","616"
"JaMychal Green","2016","MEM","78","15","1446","230","495","15","45","373","67","46","33","578"
"Jeff Green","2016","TOT","80","41","2253","354","824","67","213","332","138","58","40","939"
"Jeff Green","2016","MEM","53","31","1544","240","557","42","136","241","98","40","19","646"
"Jeff Green","2016","LAC","27","10","709","114","267","25","77","91","40","18","21","293"
"Blake Griffin","2016","LAC","35","35","1170","301","603","6","18","294","170","28","17","749"
"Jorge Gutierrez","2016","CHO","12","0","63","6","11","0","2","7","17","3","0","22"
"P.J. Hairston","2016","TOT","66","52","1313","145","408","70","241","174","38","32","11","410"
"P.J. Hairston","2016","CHO","48","43","938","99","276","54","172","128","29","24","7","286"
"P.J. Hairston","2016","MEM","18","9","375","46","132","16","69","46","9","8","4","124"
"Jordan Hamilton","2016","NOP","11","4","304","49","116","13","45","62","25","8","3","125"
"Tyler Hansbrough","2016","CHO","44","0","343","32","71","2","3","89","8","12","7","104"
"Tim Hardaway","2016","ATL","51","1","864","114","265","48","142","86","51","21","7","326"
"James Harden","2016","HOU","82","82","3125","710","1617","236","657","501","612","139","51","2376"
"Maurice Harkless","2016","POR","78","14","1457","195","411","39","140","280","67","49","35","498"
"Justin Harper","2016","DET","5","0","35","4","10","4","9","1","0","1","0","13"
"Montrezl Harrell","2016","HOU","39","1","379","58","90","0","1","65","17","11","11","140"
"Devin Harris","2016","DAL","64","0","1280","167","374","52","158","138","118","60","13","487"
"Gary Harris","2016","DEN","76","76","2439","359","765","105","297","220","147","97","18","932"
"Joe Harris","2016","CLE","5","0","15","1","4","1","4","3","2","0","0","3"
"Tobias Harris","2016","TOT","76","74","2513","417","889","80","239","510","169","65","40","1116"
"Tobias Harris","2016","ORL","49","49","1610","251","541","47","151","342","99","47","28","669"
"Tobias Harris","2016","DET","27","25","903","166","348","33","88","168","70","18","12","447"
"Aaron Harrison","2016","CHO","21","0","93","5","19","3","10","15","2","6","0","18"
"Udonis Haslem","2016","MIA","37","0","260","23","61","1","9","75","14","5","2","59"
"Spencer Hawes","2016","CHO","57","6","1035","124","306","38","102","244","109","22","27","340"
"Chuck Hayes","2016","HOU","2","0","24","1","2","0","0","8","2","0","0","4"
"Gordon Hayward","2016","UTA","80","80","2893","521","1202","143","410","397","296","95","27","1578"
"Gerald Henderson","2016","POR","72","0","1431","232","529","48","136","211","75","39","19","624"
"John Henson","2016","MIL","57","1","960","164","291","0","1","221","54","18","109","397"
"Mario Hezonja","2016","ORL","79","9","1413","181","418","67","192","176","109","39","17","478"
"Roy Hibbert","2016","LAL","81","81","1878","182","411","0","2","398","95","32","110","481"
"J.J. Hickson","2016","TOT","35","9","436","80","155","0","1","132","23","15","14","206"
"J.J. Hickson","2016","DEN","20","9","305","55","109","0","0","87","16","10","12","137"
"J.J. Hickson","2016","WAS","15","0","131","25","46","0","1","45","7","5","2","69"
"Nene Hilario","2016","WAS","57","11","1094","209","384","0","3","259","97","54","26","525"
